epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
67,0.27769,0.27769,0.00000,0.00000,1.00,0.26160,0.4767,0.6456,0.5628,0.7569,1.00e-04,39,0.5432,0.5138,0.5709,0.5566,0.1576,0.7655
68,0.27484,0.27484,0.00000,0.00000,1.00,0.26116,0.4793,0.6480,0.5613,0.7664,1.00e-04,39,0.5337,0.5158,0.6085,0.5373,0.1550,0.7623
69,0.27171,0.27171,0.00000,0.00000,1.00,0.25497,0.4836,0.6519,0.5790,0.7458,1.00e-04,39,0.5828,0.5084,0.6129,0.5598,0.1534,0.7732
70,0.27227,0.27227,0.00000,0.00000,1.00,0.25472,0.4901,0.6578,0.5739,0.7704,1.00e-04,39,0.5511,0.5238,0.5974,0.5528,0.1647,0.7608
71,0.27318,0.27318,0.00000,0.00000,1.00,0.25694,0.4816,0.6501,0.5702,0.7561,1.00e-04,39,0.5504,0.5404,0.6256,0.5627,0.1409,0.7756
72,0.27325,0.27325,0.00000,0.00000,1.00,0.25364,0.4958,0.6630,0.5907,0.7554,1.00e-04,39,0.5642,0.5199,0.5861,0.5712,0.1630,0.7608
73,0.26839,0.26839,0.00000,0.00000,1.00,0.25224,0.4924,0.6599,0.5828,0.7605,1.00e-04,39,0.5604,0.5157,0.6166,0.5671,0.1614,0.7738
74,0.27103,0.27103,0.00000,0.00000,1.00,0.25901,0.4809,0.6495,0.5728,0.7499,1.00e-04,39,0.5294,0.5085,0.5664,0.5412,0.1677,0.7747
75,0.26414,0.26414,0.00000,0.00000,1.00,0.24969,0.4968,0.6638,0.5942,0.7521,1.00e-04,39,0.5891,0.5216,0.6113,0.5595,0.1629,0.7704
76,0.26611,0.26611,0.00000,0.00000,1.00,0.25463,0.4871,0.6551,0.5836,0.7466,1.00e-04,39,0.5329,0.5006,0.5842,0.5474,0.1742,0.7724
77,0.26589,0.26589,0.00000,0.00000,1.00,0.24755,0.4948,0.6620,0.5859,0.7608,1.00e-04,39,0.5655,0.5405,0.6167,0.5558,0.1665,0.7734
78,0.26405,0.26405,0.00000,0.00000,1.00,0.24854,0.5030,0.6693,0.5907,0.7721,1.00e-04,39,0.5798,0.5288,0.6093,0.5614,0.1609,0.7781
79,0.26193,0.26193,0.00000,0.00000,1.00,0.24721,0.5071,0.6730,0.6086,0.7525,1.00e-04,39,0.5621,0.5314,0.6043,0.5635,0.1702,0.7789
80,0.26448,0.26448,0.00000,0.00000,1.00,0.24961,0.5006,0.6672,0.5893,0.7687,1.00e-04,39,0.5663,0.5312,0.5978,0.5681,0.1606,0.7687
