model=unet3d params=1.40M  train=800 val=100 global batch=8 (2 x 4 accum)  lr warmup 1e-06->1e-04 over 10 then cosine->1e-07  epochs=200 patience=20
epoch=083 train=0.19483 val=0.18703 IoU=0.7619 Dice=0.8648 P=0.828 R=0.905 lr=6.78e-05 64s
epoch=084 train=0.19372 val=0.18348 IoU=0.7729 Dice=0.8719 P=0.849 R=0.897 lr=6.70e-05 64s
epoch=085 train=0.19169 val=0.18578 IoU=0.7549 Dice=0.8603 P=0.829 R=0.894 lr=6.63e-05 64s
epoch=086 train=0.18856 val=0.17913 IoU=0.7721 Dice=0.8714 P=0.843 R=0.901 lr=6.55e-05 64s
epoch=087 train=0.18564 val=0.17819 IoU=0.7694 Dice=0.8697 P=0.841 R=0.900 lr=6.47e-05 64s
epoch=088 train=0.18492 val=0.17610 IoU=0.7732 Dice=0.8721 P=0.851 R=0.895 lr=6.39e-05 64s
epoch=089 train=0.18275 val=0.17277 IoU=0.7753 Dice=0.8734 P=0.846 R=0.903 lr=6.31e-05 64s
epoch=090 train=0.18125 val=0.17074 IoU=0.7798 Dice=0.8763 P=0.856 R=0.898 lr=6.23e-05 64s
epoch=091 train=0.17913 val=0.17240 IoU=0.7664 Dice=0.8677 P=0.844 R=0.893 lr=6.15e-05 64s
epoch=092 train=0.17702 val=0.16795 IoU=0.7766 Dice=0.8742 P=0.851 R=0.899 lr=6.07e-05 64s
epoch=093 train=0.17408 val=0.16482 IoU=0.7815 Dice=0.8774 P=0.855 R=0.901 lr=5.99e-05 64s
epoch=094 train=0.17377 val=0.16561 IoU=0.7724 Dice=0.8716 P=0.845 R=0.900 lr=5.91e-05 64s
epoch=095 train=0.17118 val=0.16227 IoU=0.7816 Dice=0.8774 P=0.858 R=0.898 lr=5.83e-05 64s
epoch=096 train=0.16928 val=0.16046 IoU=0.7813 Dice=0.8772 P=0.856 R=0.900 lr=5.75e-05 64s
epoch=097 train=0.16823 val=0.15918 IoU=0.7791 Dice=0.8758 P=0.848 R=0.905 lr=5.66e-05 64s
epoch=098 train=0.16641 val=0.15733 IoU=0.7842 Dice=0.8791 P=0.862 R=0.897 lr=5.58e-05 64s
epoch=099 train=0.16469 val=0.15652 IoU=0.7819 Dice=0.8776 P=0.858 R=0.898 lr=5.50e-05 64s
epoch=100 train=0.16428 val=0.15451 IoU=0.7836 Dice=0.8787 P=0.859 R=0.900 lr=5.42e-05 64s
epoch=101 train=0.16266 val=0.15555 IoU=0.7799 Dice=0.8763 P=0.865 R=0.888 lr=5.34e-05 64s
epoch=102 train=0.16070 val=0.15201 IoU=0.7855 Dice=0.8799 P=0.864 R=0.896 lr=5.25e-05 64s
epoch=103 train=0.15879 val=0.15173 IoU=0.7801 Dice=0.8765 P=0.856 R=0.898 lr=5.17e-05 64s
epoch=104 train=0.15795 val=0.14868 IoU=0.7879 Dice=0.8813 P=0.864 R=0.900 lr=5.09e-05 64s
epoch=105 train=0.15590 val=0.14728 IoU=0.7903 Dice=0.8828 P=0.870 R=0.896 lr=5.01e-05 64s
epoch=106 train=0.15554 val=0.14653 IoU=0.7888 Dice=0.8819 P=0.868 R=0.896 lr=4.92e-05 64s
epoch=107 train=0.15371 val=0.14680 IoU=0.7834 Dice=0.8786 P=0.861 R=0.897 lr=4.84e-05 64s
epoch=108 train=0.15302 val=0.14395 IoU=0.7896 Dice=0.8824 P=0.867 R=0.899 lr=4.76e-05 64s
epoch=109 train=0.15165 val=0.14402 IoU=0.7875 Dice=0.8811 P=0.869 R=0.894 lr=4.67e-05 64s
epoch=110 train=0.15086 val=0.14144 IoU=0.7901 Dice=0.8827 P=0.863 R=0.903 lr=4.59e-05 64s
epoch=111 train=0.14957 val=0.14116 IoU=0.7875 Dice=0.8811 P=0.861 R=0.903 lr=4.51e-05 64s
epoch=112 train=0.14856 val=0.14073 IoU=0.7873 Dice=0.8810 P=0.863 R=0.900 lr=4.43e-05 64s
epoch=113 train=0.14679 val=0.13890 IoU=0.7903 Dice=0.8829 P=0.866 R=0.901 lr=4.35e-05 64s
epoch=114 train=0.14585 val=0.13766 IoU=0.7934 Dice=0.8848 P=0.873 R=0.896 lr=4.26e-05 64s
epoch=115 train=0.14473 val=0.13711 IoU=0.7930 Dice=0.8846 P=0.876 R=0.894 lr=4.18e-05 64s
