run,history,data,history_rows,last_epoch,configured_epochs,best_recorded_val_iou,best_val_epoch,best_val_precision,best_val_recall,model,parameters_recorded,protocol_hash,metric_source,test_json_status
runs/thebe_spatial_v3_unet_lg_b30,runs/thebe_spatial_v3_unet_lg_b30/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,9,9.0,100,0.2954398853075918,9,0.3712574726100832,0.5912839343148814,unet_maxvit3d,6098751,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_vsssam_tiny,runs/thebe_spatial_v3_vsssam_tiny/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,13,13.0,100,0.32871432600257044,9,0.46868071795040084,0.5239699151012208,vss_sam3d,17777585,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3fg_maxvit_tiny,runs/thebe_spatial_v3fg_maxvit_tiny/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,5,5.0,100,0.2331774405712112,5,0.350769616690196,0.41022182875712276,maxvit3d,40164233,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3fg_unet_l,runs/thebe_spatial_v3fg_unet_l/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,2,2.0,100,0.09091914750652234,2,0.10567409910733232,0.3943642965470486,unet3d,9643495,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_v3_semi/_aborted_batch6_sup_2ep,runs/thebe_v3_semi/_aborted_batch6_sup_2ep/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,2,2.0,60,0.05465157422720055,2,0.06440049214693777,0.2652588184904669,maxvit3d,40164233,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_v3_semi/maxvit_tiny_lab10_sup,runs/thebe_v3_semi/maxvit_tiny_lab10_sup/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,10,10.0,60,0.08649855984942446,9,0.16410492161029544,0.15462585681390822,maxvit3d,40164233,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/unet3d_v1,runs/unet3d_v1/log.csv,data/dataset_v1_parts,60,60.0,60,0.5176,55,0.5339,0.9441,unet3d,,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/unet3d_v2,runs/unet3d_v2/log.csv,data/dataset_reproduction_v2,58,58.0,60,0.7019,46,0.7239,0.9585,unet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/unet3d_v2_n200,runs/unet3d_v2_n200/log.csv,data/dataset_reproduction_v2,60,60.0,60,0.5197,51,0.5324,0.9559,unet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/unet3d_v2_n400,runs/unet3d_v2_n400/log.csv,data/dataset_reproduction_v2,60,60.0,60,0.626,50,0.6437,0.9579,unet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/unet3d_v2_oldrecipe,runs/unet3d_v2_oldrecipe/log.csv,data/dataset_reproduction_v2,200,200.0,200,0.8073,190,0.8886,0.8981,unet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/unet3d_v2_oldrecipe_cont,runs/unet3d_v2_oldrecipe_cont/log.csv,data/dataset_reproduction_v2,0,0,150,,,,,unet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/unet_grid_smoke_20260916,runs/unet_grid_smoke_20260916/log.csv,data/dataset_reproduction_v2,1,1.0,200,0.03667268568537152,1,0.036969406456740087,0.8204400053286718,unet_grid3d,10785202,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/upgrade_smoke_combined_20260916,runs/upgrade_smoke_combined_20260916/log.csv,data/dataset_reproduction_v2,0,0,40,,,,,combined,40233171,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/upgrade_smoke_ddp_20260916,runs/upgrade_smoke_ddp_20260916/log.csv,data/dataset_reproduction_v2,0,0,20,,,,,combined,40233171,8255016ce917b483cda0dc3471b5e984f086b23184965082bff4cee44a632af3,val_iou from CSV; checkpoint selection may instead use val_loss,absent
