M0 CompactMaxViT 9,489,043 parameters; global batch 8; start epoch 1
/hdd1/hukaixiao/projects/faultsyn3d/train/train_compact_maxvit_ddp.py:217: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  print(f'epoch={epoch:03d} step={step+1}/{len(dl)} loss={float(loss):.5f}',flush=True)
epoch=019 step=80/100 loss=0.13681
epoch=019 step=90/100 loss=0.14432
epoch=019 step=100/100 loss=0.14297
EPOCH 019/200: train=0.17372 val=0.15496 IoU=0.703731 P=0.8340 R=0.8183 83.2s peak=7814MiB
epoch=020 step=1/100 loss=0.16969
epoch=020 step=10/100 loss=0.14666
epoch=020 step=20/100 loss=0.15702
epoch=020 step=30/100 loss=0.18039
epoch=020 step=40/100 loss=0.28086
epoch=020 step=50/100 loss=0.21313
epoch=020 step=60/100 loss=0.29509
epoch=020 step=70/100 loss=0.14270
epoch=020 step=80/100 loss=0.16560
epoch=020 step=90/100 loss=0.17969
epoch=020 step=100/100 loss=0.13185
EPOCH 020/200: train=0.16855 val=0.15018 IoU=0.700489 P=0.8155 R=0.8324 83.6s peak=7814MiB
epoch=021 step=1/100 loss=0.14870
epoch=021 step=10/100 loss=0.23413
epoch=021 step=20/100 loss=0.15127
epoch=021 step=30/100 loss=0.14468
epoch=021 step=40/100 loss=0.15592
epoch=021 step=50/100 loss=0.13312
epoch=021 step=60/100 loss=0.15328
epoch=021 step=70/100 loss=0.16053
epoch=021 step=80/100 loss=0.19338
epoch=021 step=90/100 loss=0.11517
epoch=021 step=100/100 loss=0.16975
EPOCH 021/200: train=0.16290 val=0.14040 IoU=0.715740 P=0.8259 R=0.8429 83.5s peak=7814MiB
epoch=022 step=1/100 loss=0.14147
epoch=022 step=10/100 loss=0.11573
epoch=022 step=20/100 loss=0.18102
epoch=022 step=30/100 loss=0.12874
epoch=022 step=40/100 loss=0.17529
epoch=022 step=50/100 loss=0.20256
epoch=022 step=60/100 loss=0.17723
epoch=022 step=70/100 loss=0.17133
epoch=022 step=80/100 loss=0.12684
epoch=022 step=90/100 loss=0.19735
epoch=022 step=100/100 loss=0.14945
EPOCH 022/200: train=0.15634 val=0.13488 IoU=0.723316 P=0.8344 R=0.8445 83.6s peak=7814MiB
epoch=023 step=1/100 loss=0.14395
epoch=023 step=10/100 loss=0.15583
epoch=023 step=20/100 loss=0.27245
epoch=023 step=30/100 loss=0.15316
epoch=023 step=40/100 loss=0.13418
epoch=023 step=50/100 loss=0.12556
epoch=023 step=60/100 loss=0.21360
epoch=023 step=70/100 loss=0.11965
epoch=023 step=80/100 loss=0.16728
epoch=023 step=90/100 loss=0.18072
epoch=023 step=100/100 loss=0.13470
EPOCH 023/200: train=0.15254 val=0.13307 IoU=0.721603 P=0.8312 R=0.8455 83.7s peak=7814MiB
epoch=024 step=1/100 loss=0.13919
epoch=024 step=10/100 loss=0.20958
epoch=024 step=20/100 loss=0.15034
epoch=024 step=30/100 loss=0.11369
epoch=024 step=40/100 loss=0.11945
epoch=024 step=50/100 loss=0.19253
epoch=024 step=60/100 loss=0.13243
epoch=024 step=70/100 loss=0.11733
epoch=024 step=80/100 loss=0.08743
epoch=024 step=90/100 loss=0.10725
epoch=024 step=100/100 loss=0.13161
EPOCH 024/200: train=0.14586 val=0.13400 IoU=0.713742 P=0.8310 R=0.8349 83.8s peak=7814MiB
epoch=025 step=1/100 loss=0.13555
epoch=025 step=10/100 loss=0.15804
epoch=025 step=20/100 loss=0.15143
epoch=025 step=30/100 loss=0.15633
epoch=025 step=40/100 loss=0.13364
epoch=025 step=50/100 loss=0.16835
epoch=025 step=60/100 loss=0.15507
epoch=025 step=70/100 loss=0.15448
epoch=025 step=80/100 loss=0.13219
epoch=025 step=90/100 loss=0.16427
epoch=025 step=100/100 loss=0.11641
EPOCH 025/200: train=0.14363 val=0.12311 IoU=0.737471 P=0.8508 R=0.8470 83.2s peak=7814MiB
epoch=026 step=1/100 loss=0.16691
epoch=026 step=10/100 loss=0.14505
epoch=026 step=20/100 loss=0.22551
epoch=026 step=30/100 loss=0.13995
epoch=026 step=40/100 loss=0.11441
epoch=026 step=50/100 loss=0.11750
epoch=026 step=60/100 loss=0.13226
epoch=026 step=70/100 loss=0.09362
epoch=026 step=80/100 loss=0.18742
epoch=026 step=90/100 loss=0.11881
epoch=026 step=100/100 loss=0.10906
EPOCH 026/200: train=0.13901 val=0.12070 IoU=0.737882 P=0.8498 R=0.8485 83.8s peak=7814MiB
epoch=027 step=1/100 loss=0.14273
epoch=027 step=10/100 loss=0.12275
epoch=027 step=20/100 loss=0.14024
epoch=027 step=30/100 loss=0.07658
epoch=027 step=40/100 loss=0.16990
epoch=027 step=50/100 loss=0.10692
epoch=027 step=60/100 loss=0.13221
epoch=027 step=70/100 loss=0.20169
epoch=027 step=80/100 loss=0.16932
epoch=027 step=90/100 loss=0.12353
epoch=027 step=100/100 loss=0.14938
EPOCH 027/200: train=0.13595 val=0.11636 IoU=0.744192 P=0.8483 R=0.8584 83.6s peak=7814MiB
epoch=028 step=1/100 loss=0.07980
epoch=028 step=10/100 loss=0.12692
epoch=028 step=20/100 loss=0.14109
epoch=028 step=30/100 loss=0.12222
epoch=028 step=40/100 loss=0.14960
epoch=028 step=50/100 loss=0.10007
epoch=028 step=60/100 loss=0.16001
epoch=028 step=70/100 loss=0.15518
epoch=028 step=80/100 loss=0.12075
epoch=028 step=90/100 loss=0.13862
epoch=028 step=100/100 loss=0.12883
EPOCH 028/200: train=0.13310 val=0.11532 IoU=0.743606 P=0.8516 R=0.8543 83.2s peak=7814MiB
epoch=029 step=1/100 loss=0.08153
epoch=029 step=10/100 loss=0.09381
epoch=029 step=20/100 loss=0.16254
epoch=029 step=30/100 loss=0.22881
epoch=029 step=40/100 loss=0.08709
epoch=029 step=50/100 loss=0.20839
epoch=029 step=60/100 loss=0.12801
epoch=029 step=70/100 loss=0.09231
epoch=029 step=80/100 loss=0.17660
epoch=029 step=90/100 loss=0.11071
epoch=029 step=100/100 loss=0.09915
EPOCH 029/200: train=0.12952 val=0.11550 IoU=0.740701 P=0.8521 R=0.8499 83.1s peak=7814MiB
epoch=030 step=1/100 loss=0.07397
epoch=030 step=10/100 loss=0.10877
epoch=030 step=20/100 loss=0.10599
epoch=030 step=30/100 loss=0.10694
epoch=030 step=40/100 loss=0.15941
epoch=030 step=50/100 loss=0.13203
epoch=030 step=60/100 loss=0.08666
epoch=030 step=70/100 loss=0.08975
epoch=030 step=80/100 loss=0.14413
epoch=030 step=90/100 loss=0.14993
epoch=030 step=100/100 loss=0.09259
EPOCH 030/200: train=0.12705 val=0.10921 IoU=0.754956 P=0.8721 R=0.8489 83.1s peak=7814MiB
epoch=031 step=1/100 loss=0.15358
epoch=031 step=10/100 loss=0.12713
epoch=031 step=20/100 loss=0.11458
