epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
85,0.10361,0.09488,0.03865,0.09746,1.00,0.08476,0.7910,0.8833,0.8941,0.8728,6.63e-05,51,0.8883,0.7689,0.7813,0.8140,0.6718
86,0.10338,0.09476,0.03874,0.09496,1.00,0.08376,0.7928,0.8844,0.8855,0.8833,6.55e-05,50,0.8912,0.7710,0.7809,0.8147,0.6758
87,0.10416,0.09543,0.03896,0.09669,1.00,0.08468,0.7898,0.8825,0.8798,0.8853,6.47e-05,50,0.8905,0.7670,0.7812,0.8122,0.6691
88,0.10339,0.09493,0.03891,0.09126,1.00,0.08478,0.7905,0.8830,0.8880,0.8780,6.39e-05,50,0.8918,0.7689,0.7774,0.8127,0.6712
89,0.10295,0.09433,0.03849,0.09546,1.00,0.08587,0.7877,0.8812,0.8860,0.8765,6.31e-05,50,0.8829,0.7639,0.7755,0.8143,0.6703
90,0.10052,0.09214,0.03747,0.09260,1.00,0.08485,0.7899,0.8826,0.8872,0.8780,6.23e-05,50,0.8865,0.7673,0.7778,0.8171,0.6700
91,0.10060,0.09237,0.03733,0.09004,1.00,0.08303,0.7950,0.8858,0.9034,0.8688,6.15e-05,50,0.8926,0.7708,0.7802,0.8209,0.6790
92,0.10095,0.09249,0.03764,0.09406,1.00,0.08330,0.7929,0.8845,0.8882,0.8809,6.07e-05,50,0.8889,0.7733,0.7814,0.8184,0.6733
93,0.09903,0.09071,0.03682,0.09289,1.00,0.08557,0.7888,0.8819,0.9003,0.8643,5.99e-05,50,0.8786,0.7635,0.7808,0.8162,0.6717
94,0.09788,0.08980,0.03629,0.08891,1.00,0.08189,0.7962,0.8865,0.8927,0.8805,5.91e-05,50,0.8938,0.7731,0.7829,0.8194,0.6831
95,0.09806,0.08996,0.03638,0.08927,1.00,0.08045,0.7998,0.8888,0.8937,0.8839,5.83e-05,50,0.8968,0.7757,0.7857,0.8231,0.6873
96,0.09931,0.09118,0.03711,0.08829,1.00,0.08154,0.7969,0.8870,0.8903,0.8837,5.75e-05,51,0.8943,0.7712,0.7838,0.8211,0.6835
97,0.09892,0.09070,0.03678,0.09090,1.00,0.08040,0.8001,0.8889,0.9030,0.8753,5.66e-05,51,0.8946,0.7755,0.7879,0.8253,0.6864
98,0.09890,0.09068,0.03682,0.09085,1.00,0.08017,0.7999,0.8888,0.8894,0.8883,5.58e-05,50,0.8947,0.7766,0.7877,0.8250,0.6856
99,0.09736,0.08931,0.03617,0.08868,1.00,0.07987,0.8011,0.8896,0.9008,0.8787,5.50e-05,50,0.8963,0.7769,0.7860,0.8258,0.6902
100,0.09808,0.08986,0.03655,0.09115,1.00,0.08110,0.7976,0.8874,0.8886,0.8863,5.42e-05,50,0.8947,0.7748,0.7858,0.8217,0.6817
101,0.09746,0.08946,0.03624,0.08759,1.00,0.08020,0.8000,0.8889,0.8951,0.8827,5.34e-05,50,0.8976,0.7775,0.7863,0.8266,0.6818
102,0.09634,0.08832,0.03570,0.08904,1.00,0.08164,0.7964,0.8867,0.8893,0.8840,5.25e-05,50,0.8951,0.7739,0.7833,0.8227,0.6768
103,0.09673,0.08868,0.03591,0.08918,1.00,0.08296,0.7920,0.8839,0.8900,0.8780,5.17e-05,50,0.8689,0.7738,0.7837,0.8196,0.6849
104,0.09449,0.08675,0.03486,0.08510,1.00,0.08083,0.7979,0.8876,0.8921,0.8831,5.09e-05,50,0.8875,0.7809,0.7886,0.8210,0.6825
105,0.09680,0.08873,0.03594,0.08942,1.00,0.07973,0.8011,0.8896,0.8993,0.8801,5.01e-05,50,0.8982,0.7807,0.7902,0.8261,0.6805
106,0.09541,0.08744,0.03548,0.08841,1.00,0.07938,0.8012,0.8896,0.8963,0.8831,4.92e-05,50,0.8931,0.7813,0.7893,0.8279,0.6854
107,0.09482,0.08699,0.03495,0.08661,1.00,0.07965,0.8001,0.8890,0.8838,0.8942,4.84e-05,50,0.8948,0.7790,0.7878,0.8267,0.6830
108,0.09423,0.08656,0.03467,0.08403,1.00,0.07893,0.8023,0.8903,0.8919,0.8888,4.76e-05,52,0.8960,0.7816,0.7900,0.8257,0.6887
109,0.09535,0.08771,0.03568,0.08153,1.00,0.07979,0.8010,0.8895,0.9011,0.8782,4.67e-05,50,0.8956,0.7787,0.7898,0.8249,0.6855
110,0.09378,0.08597,0.03458,0.08714,1.00,0.07845,0.8026,0.8905,0.8822,0.8990,4.59e-05,50,0.8990,0.7818,0.7890,0.8274,0.6880
111,0.09270,0.08514,0.03404,0.08308,1.00,0.07811,0.8038,0.8912,0.8888,0.8937,4.51e-05,50,0.8991,0.7814,0.7937,0.8280,0.6877
112,0.09471,0.08686,0.03522,0.08658,1.00,0.08089,0.7965,0.8867,0.8793,0.8943,4.43e-05,50,0.8886,0.7793,0.7893,0.8217,0.6759
113,0.09337,0.08571,0.03453,0.08416,1.00,0.07713,0.8071,0.8932,0.8987,0.8879,4.35e-05,50,0.9020,0.7850,0.7936,0.8321,0.6922
114,0.09265,0.08518,0.03419,0.08113,1.00,0.07915,0.8006,0.8893,0.8808,0.8979,4.26e-05,50,0.8911,0.7810,0.7889,0.8258,0.6877
115,0.09327,0.08564,0.03454,0.08362,1.00,0.07738,0.8063,0.8928,0.9049,0.8810,4.18e-05,51,0.9004,0.7838,0.7941,0.8328,0.6904
116,0.09385,0.08609,0.03456,0.08598,1.00,0.07734,0.8062,0.8927,0.8979,0.8876,4.10e-05,51,0.9007,0.7841,0.7914,0.8303,0.6948
117,0.09208,0.08451,0.03387,0.08357,1.00,0.07734,0.8059,0.8925,0.8936,0.8914,4.02e-05,51,0.8996,0.7839,0.7941,0.8315,0.6903
118,0.09189,0.08429,0.03377,0.08437,1.00,0.07718,0.8068,0.8931,0.8988,0.8875,3.94e-05,51,0.9014,0.7854,0.7948,0.8318,0.6910
119,0.09035,0.08291,0.03310,0.08259,1.00,0.07721,0.8071,0.8932,0.9033,0.8834,3.86e-05,52,0.9023,0.7850,0.7941,0.8318,0.6911
120,0.09154,0.08405,0.03343,0.08303,1.00,0.07635,0.8080,0.8938,0.9006,0.8872,3.78e-05,51,0.9033,0.7870,0.7941,0.8309,0.6958
121,0.09115,0.08358,0.03361,0.08410,1.00,0.07672,0.8076,0.8936,0.9012,0.8861,3.70e-05,50,0.9011,0.7871,0.7923,0.8341,0.6939
122,0.09187,0.08447,0.03390,0.08013,1.00,0.07685,0.8077,0.8936,0.9062,0.8814,3.62e-05,50,0.8993,0.7847,0.7942,0.8336,0.6961
123,0.09100,0.08361,0.03358,0.08069,1.00,0.07657,0.8083,0.8940,0.9089,0.8796,3.54e-05,50,0.9018,0.7887,0.7967,0.8325,0.6915
124,0.08974,0.08244,0.03278,0.08047,1.00,0.07617,0.8082,0.8939,0.8972,0.8907,3.46e-05,50,0.8985,0.7865,0.7959,0.8352,0.6952
125,0.09061,0.08325,0.03331,0.08054,1.00,0.07581,0.8099,0.8950,0.9039,0.8862,3.38e-05,50,0.9026,0.7890,0.7975,0.8347,0.6956
